Verse ID,Chapter,Verse,Short English Translation,Ethical AI Logic Tag,AI System Application,Symbolic Conscience Mapping,Ethical Trait
1.3,1,3,"Behold, O Teacher! this mighty army of the sons of Pandu,  arrayed by the son of Drupada, thy wise disciple.",,,,
1.4,1,4,"Here are heroes, mighty archers, equal in battle to Bhima and  Arjuna, Yuyudhana, Virata and Drupada, each commanding  eleven-thousand archers.",,,,
1.5,1,5,"Dhrishtaketu, Chekitana, and the valiant king of Kashi,  Purujit and Kuntibhoja and Saibya, the best of men.",,,,
1.6,1,6,"The strong Yudhamanyu and the brave Uttamaujas, the son  of Subhadra and the sons of Draupadi, all of them, divisional  commanders.",,,,
1.7,1,7,"Know also, O best among the twice-born, the names of those  who are the most distinguished amongst ourselves, the leaders of  my army; these I name to thee for thy information.",,,,
1.8,1,8,"Yourself and Bishma, and Karna and also Kripa, the  victorious in war; Aswatthama, Vikarna and so also the son of  Somadatta.",,,,
1.9,1,9,"And many other heroes also who are determined to give up  their lives for my sake, armed with various weapons and  missiles, all well-skilled in battle.",,,,
1.10,1,10,"This army of ours defended by Bhishma is insufficient,  whereas that army of theirs defended by Bhima is sufficient.",,,,
1.11,1,11,"Therefore do you all, stationed in your respective positions  in the several divisions of the army, protect Bhishma alone.",,,,
1.12,1,12,"His glorious grandsire (Bhishma) , the oldest of the  Kauravas, in order to cheer Duryodhana, now sounded aloud a  lion's roar and blew his conch.",,,,
1.13,1,13,"Then (following Bhishma) , conches and kettle-drums,  tabors, drums and cow-horns blared forth quite suddenly and  the sound was tremendous.",,,,
1.14,1,14,"Then, also Madhava and the son of Pandu, seated in their  magnificent chariot yoked with white horses, blew their divine  conches.",,,,
1.15,1,15,"Hrishikesha blew the Panchajanya and Dhananjaya  (Arjuna) blew the Devadatta and Vrikodara (Bhima) , the doer  of terrible deeds, blew the great conch, named Paundra.",,,,
1.16,1,16,"King Yudhisthira, the son of Kunti, blew the Anantavijaya;  Nakula  and  Sahadeva  blew  the  Sughosha  and  the  Manipushpaka.",,,,
1.17,1,17,"The king of Kashi, an excellent archer, Shikhandi, the  mighty commander of eleven thousand archers, Dhristadyumna  and Virata and Satyaki, the unconquered;      Holy Geeta by Swami Chinmayananda  23",,,,
1.18,1,18,"Drupada and the sons of Draupadi, O Lord of the Earth, and  the son of Subhadra, the mighty armed, blew their respective  conches.",,,,
1.19,1,19,That tumultuous sound rent the hearts of (the people of)  Dhritarashtra's party and made both heaven and earth  reverberate.,,,,
1.23,1,23,"For I desire to observe those who are assembled here for the  fight, wishing to please in battle, the evil-minded sons of  Dhritarashtra.",,,,
1.25,1,25,"In front of Bhishma and Drona, and all the rulers of the  earth, he said, 'O Partha, behold these Kurus gathered together.",,,,
1.26,1,26,"Then Partha saw stationed there in both the armies, fathers,  grandfathers, teachers, maternal uncles, brothers, sons,  grandsons and friends too.",,,,
1.27,1,27,(He saw) Fathers-in-law and friends also in both the armies.,,,,
1.29,1,29,"My limbs fail and my mouth is parched, my body quivers  and my hair stands on end.",,,,
1.30,1,30,"The Gandiva-bow slips from my hand, and my skin burns all  over; I am also unable to stand and my mind is whirling round,  as it were.",,,,
1.31,1,31,"And I see adverse omens, O Keshava.",,,,
1.32,1,32,"For, I desire not victory, O Krishna, nor kingdom, nor  pleasures.",,,,
1.33,1,33,"They for whose sake we desire kingdom, enjoyment and  pleasures stand here in battle, having renounced life and wealth.",,,,
1.34,1,34,"Teachers, fathers, sons and also grandfathers, maternal  uncles, fathers-in-law, grandsons, brothers-in-law and other  relatives.",,,,
1.35,1,35,"These I do not wish to kill, though they kill me, O  Madhusudana, even for the sake of dominion over the three  worlds; how much less for the sake of the earth.",,,,
1.36,1,36,"Killing these sons of Dhritarashtra, what pleasure can be  ours, O Janardana? Sin alone will be our gain by killing these  felons.",,,,
1.37,1,37,"Therefore we shall not kill the sons of Dhritarashtra, our  relatives; for how can we be happy by killing our own people, O  Madhava?   Here, Arjuna concludes his seemingly logical arguments  which have got a false look of Hindu scriptural sanction.",,,,
1.38,1,38,"Though these, with their intelligence clouded by greed, see  no evil in the destruction of the families in the society, and no  sin in their cruelty to friends; .",,,,
1.39,1,39,"Why should not we, who clearly see evil in the destruction of  the family-units, learn to turn away from this sin, O  Janardana?   No doubt, the Kauravas, grown blind in their greed for  power and wealth, cannot see the destruction of the entire  social structure by this war.",,,,
1.40,1,40,"In the destruction of a family, the immemorial religious rites  of that family perish; on the destruction of spirituality, impiety  overcomes the whole family.",,,,
1.41,1,41,"By the prevalence of impiety, O Krishna, the women of the  family become corrupt; and women being corrupted, O  descendent of the Vrishni-clan, there arises ""intermingling of  castes"" (VARNA-SAMKARA) .",,,,
1.42,1,42,"'Confusion of castes' leads the slayer of the family to hell; for  their forefathers fall, deprived of the offerings of PINDA (rice- ball) and water (libations) .",,,,
1.43,1,43,"By these evil deeds of the 'destroyers of the family, ' which  cause confusion of castes, the eternal religious rites of the caste  and the family are destroyed.",,,,
1.44,1,44,"We have heard, O Janardana, that it is inevitable for those  men, in whose families the religious practices have been  destroyed, to dwell in hell for an unknown period of time.",,,,
1.45,1,45,"Alas! We are involved in a great sin, in that we are prepared  to kill our kinsmen, from greed for the pleasures of the kingdom.",,,,
2.3,2,3,"Yield not to impotence, O Partha! It does not befit thee, Cast  off this mean weakness of heart! Stand up, O Parantapa (O  scorcher of foes) !   In stinging reproachful words, Krishna is deliberately  lashing at the anxiety-state-neurotic in Arjuna.",,,,
2.5,2,5,"Better indeed, in this world, is to eat even the bread of  'beggary' than to slay the most noble of teachers.",,,,
2.6,2,6,"I can scarcely say which will be better, that we should  conquer them or that they should conquer us.",,,,
2.7,2,7,My heart is overpowered by the taint of pity; my mind is  confused as to duty.,,,,
2.8,2,8,"I do not see that it would remove this sorrow that burns up  my senses, even if I should attain prosperous and unrivalled  dominion on earth, or even Lordship over the gods.",,,,
2.10,2,10,"To him who was despondent in the midst of the two armies,  Hrishikesha, as if smiling, O Bharata, spoke these words.",,,,
2.12,2,12,"It is not that at any time (in the past) , indeed, was I not, nor  were you, nor these rulers of men.",,,,
2.13,2,13,"Just as in this body the embodied (soul) passes into  childhood, youth and old age, so also does he pass into another  body; the firm man does not grieve at it.",,,,
2.14,2,14,"The contacts of senses with objects, O son of Kunti, which  cause heat and cold, pleasure and pain, have a beginning and an  end; they are impermanent; endure them bravely, O descendant  of Bharata.",,,,
2.15,2,15,"That firm man whom, surely, these afflict not, O chief  among men, to whom pleasure and pain are the same, is fit for  realising the Immortality of the Self.",,,,
2.16,2,16,The unreal has no being; there is no non-being of the Real;  the truth about both these has been seen by the Knowers of the  Truth (or the Seers of the Essence) .,,,,
2.17,2,17,Know That to be Indestructible by which all this is pervaded.,,,,
2.18,2,18,"They have an end, it is said, these bodies of the embodied- Self.",,,,
2.19,2,19,"He who takes the Self to be the slayer and he who thinks He  is slain, neither of these knows.",,,,
2.20,2,20,"He is not born, nor does He ever die; after having been, He  again ceases not to be; Unborn, Eternal, Changeless and  Ancient, He is not killed when the body is killed.",,,,
2.21,2,21,"Whosoever knows Him to be Indestructible, Eternal,  Unborn, and Inexhaustible, how can that man slay, O Partha,  or cause others to be slain?   Summarising what is said so far, as the Law of Being  (Dharma) of the Self, which indicated rather than defined   Holy Geeta by Swami Chinmayananda    86    the Eternal, Immutable Reality, in this stanza, we have, in  the form of an interrogation, an assertion that those who  know this shall have thereafter, no dejection or sorrow in  facing life's realities.",,,,
2.22,2,22,"Just as a man casts off his worn out clothes and puts on new  ones, so also the embodied-Self casts off its worn out bodies and  enters others which are new.",,,,
2.23,2,23,"Weapons cleave It not, fire burns It not, water moistens It  not, wind dries It not.",,,,
2.24,2,24,"This Self cannot be cut, nor burnt, nor moistened, nor dried  up.",,,,
2.25,2,25,"This (Self) is said to be Unmanifest, Unthinkable and  Unchangeable.",,,,
2.26,2,26,"But even if you think of Him as being constantly born and  constantly dying, even then, O mighty-armed, you should not  grieve.",,,,
2.27,2,27,"Indeed, certain is death for the born, and certain is birth for  the dead; therefore, over the inevitable, you should not grieve.",,,,
2.28,2,28,"Beings unmanifest in the beginning, and unmanifest again  in their end seem to be manifest in the middle, O Bharata.",,,,
