Output File                                                        Name                                Type       FSH File                                   Lines
StructureDefinition-age-at-diagnosis.json                          AgeAtDiagnosis                      Extension  Condition_RareLink.fsh                     38 - 43
StructureDefinition-age-at-onset.json                              AgeAtOnset                          Extension  Condition_RareLink.fsh                     45 - 50
StructureDefinition-birth-place.json                               BirthPlace                          Extension  Patient_RareLink.fsh                       36 - 44
StructureDefinition-cause-of-death-code.json                       CauseOfDeathCode                    Extension  Patient_RareLink.fsh                       69 - 76
StructureDefinition-cause-of-death-definition.json                 CauseOfDeathDefinition              Extension  Patient_RareLink.fsh                       78 - 84
StructureDefinition-cause-of-death.json                            CauseOfDeath                        Extension  Patient_RareLink.fsh                       61 - 67
StructureDefinition-causing-agent.json                             CausingOrganism                     Extension  ObservationPhenotypes_RareLink.fsh         110 - 117
StructureDefinition-clinical-modifier-1.json                       ClinicalModifier1                   Extension  ObservationPhenotypes_RareLink.fsh         80 - 89
StructureDefinition-clinical-modifier-2.json                       ClinicalModifier2                   Extension  ObservationPhenotypes_RareLink.fsh         90 - 99
StructureDefinition-clinical-modifier-3.json                       ClinicalModifier3                   Extension  ObservationPhenotypes_RareLink.fsh         100 - 109
StructureDefinition-consanguinity.json                             Consanguinity                       Extension  FamilyHistory_RareLink.fsh                 46 - 53
StructureDefinition-date-of-admission.json                         DateOfAdmission                     Extension  Patient_RareLink.fsh                       45 - 51
StructureDefinition-erdri-agreement-to-be-contacted.json           AgreementToBeContacted              Extension  Consent_RareLink.fsh                       41 - 48
StructureDefinition-erdri-consent-to-reuse-data.json               ConsentToReuseData                  Extension  Consent_RareLink.fsh                       31 - 40
StructureDefinition-phenotype-severity.json                        PhenotypeSeverity                   Extension  ObservationPhenotypes_RareLink.fsh         70 - 79
StructureDefinition-phenotype-status.json                          PhenotypeStatus                     Extension  ObservationPhenotypes_RareLink.fsh         43 - 52
StructureDefinition-propositus.json                                Propositus                          Extension  FamilyHistory_RareLink.fsh                 36 - 45
StructureDefinition-rarelink-condition-undiagnosed-rd-case.json    RareLinkConditionUndiagnosedRDCase  Profile    ConditionUndiagnosed_RareLink.fsh          4 - 19
StructureDefinition-rarelink-consent.json                          RareLinkConsent                     Profile    Consent_RareLink.fsh                       3 - 30
StructureDefinition-rarelink-diagnostic-implication.json           RareLinkDiagnosticImplication       Profile    ObservationGeneticFindings_RareLink.fsh    118 - 166
StructureDefinition-rarelink-encounter.json                        RareLinkEncounter                   Profile    Encounter_RareLink.fsh                     4 - 23
StructureDefinition-rarelink-familyhistory.json                    RareLinkFamilyHistory               Profile    FamilyHistory_RareLink.fsh                 3 - 35
StructureDefinition-rarelink-genetic-variant.json                  RareLinkGeneticVariant              Profile    ObservationGeneticFindings_RareLink.fsh    10 - 112
StructureDefinition-rarelink-ips-condition.json                    RareLinkIPSCondition                Profile    Condition_RareLink.fsh                     2 - 36
StructureDefinition-rarelink-ips-measurement-laboratory.json       RareLinkIPSMeasurementLaboratory    Profile    ObservationLaboratory_RareLink.fsh         4 - 36
StructureDefinition-rarelink-ips-measurement-radiology.json        RareLinkIPSMeasurementRadiology     Profile    ObservationRadiology_RareLink.fsh          4 - 37
StructureDefinition-rarelink-ips-patient.json                      RareLinkIPSPatient                  Profile    Patient_RareLink.fsh                       4 - 35
StructureDefinition-rarelink-ips-procedure.json                    RareLinkIPSProcedure                Profile    ProcedureMeasurements_RareLink.fsh         3 - 25
StructureDefinition-rarelink-karyotypic-sex.json                   RareLinkKaryotypicSex               Profile    ObservationKaryotypicSex_RareLink.fsh      3 - 25
StructureDefinition-rarelink-observation-age-category.json         RareLinkAgeCategory                 Profile    ObservationAgeCategory_RareLink.fsh        3 - 28
StructureDefinition-rarelink-observation-gestation-at-birth.json   RareLinkGestationAtBirth            Profile    ObservationGestationAge_RareLink.fsh       3 - 50
StructureDefinition-rarelink-observation-measurements-others.json  RareLinkIPSMeasurementsOthers       Profile    ObservationOtherMeasurements_RareLink.fsh  3 - 48
StructureDefinition-rarelink-observation-vital-signs.json          RareLinkIPSMeasurementsVitalSigns   Profile    ObservationVitalSigns_RareLink.fsh         1 - 39
