SIMPLE_PC_table,strike_bonus,strike_bonus,strike_bonus,spell_bonus,spell_bonus,spell_bonus
PC_table,ability_bonus.boosts,ability_bonus.apex,attack_item_bonus,ability_bonus.boosts,ability_bonus.apex,spell_proficiency
alchemist/bomber,3,TRUE,bomb,4,FALSE,dedication
alchemist/chirurgeon,3,TRUE,potency_rune,4,FALSE,dedication
alchemist/mutagenist,3,TRUE,bestial_mutagen,4,FALSE,dedication
alchemist/toxicologist,3,TRUE,potency_rune,4,FALSE,dedication
animist,3,FALSE,potency_rune,4,TRUE,%class%
barbarian,4,TRUE,potency_rune,3,FALSE,dedication
bard,3,FALSE,potency_rune,4,TRUE,dedication
champion,4,TRUE,potency_rune,3,FALSE,dedication
cleric/battle creed,3,TRUE,potency_rune,4,FALSE,%class%
cleric/cloistered cleric,3,FALSE,potency_rune,4,TRUE,%class%
cleric/warpriest,3,FALSE,potency_rune,4,TRUE,%class%
commander,4,TRUE,potency_rune,3,FALSE,dedication
druid,3,FALSE,potency_rune,4,TRUE,%class%
exemplar,4,TRUE,potency_rune,3,FALSE,dedication
fighter,4,TRUE,potency_rune,3,FALSE,dedication
guardian,4,TRUE,potency_rune,3,FALSE,dedication
gunslinger/DEX,4,TRUE,potency_rune,3,FALSE,dedication
gunslinger/STR,3,FALSE,potency_rune,3,FALSE,dedication
inventor,3,TRUE,potency_rune,4,FALSE,dedication
investigator,3,TRUE,potency_rune,4,FALSE,dedication
kineticist,3,FALSE,potency_rune,4,FALSE,dedication
magus,4,TRUE,potency_rune,3,FALSE,%class%
monk,4,TRUE,potency_rune,3,FALSE,dedication
oracle,3,FALSE,potency_rune,4,TRUE,%class%
psychic,3,FALSE,potency_rune,4,TRUE,%class%
ranger,4,TRUE,potency_rune,3,FALSE,dedication
rogue,4,TRUE,potency_rune,3,FALSE,dedication
sorcerer,3,FALSE,potency_rune,4,TRUE,%class%
summoner,4,FALSE,potency_rune,4,TRUE,%class%
swashbuckler,4,TRUE,potency_rune,4,FALSE,dedication
thaumaturge,4,TRUE,potency_rune,3,FALSE,dedication
witch,3,FALSE,potency_rune,4,TRUE,%class%
wizard,3,FALSE,potency_rune,4,TRUE,%class%
