#: table_doi: 10.17182/hepdata.83541.v1/t2
#: name: Table 2
#: description: Expected and observed 95% lower limits on the vector-like bottom quark mass as a function of the branching ratio, asumming that the vector-like quarks exclusively decay to SM particles (and third generation quarks).
#: data_file: 2DMass_B.yaml
#: keyword reactions: P P --> T T
#: keyword cmenergies: 13000
#: keyword phrases: Vector-like quarks | pair-production | Lower mass limit
#: LUMINOSITY [fb$^{-1}$],36.1
#: Limit,Expected
#: SQRT(S) [GeV],13000
BR(B->Wt),BR(B->Hb),Lower limit on VLQ mass at 95% CL [GeV]
0,0,1185
0,0.05,1184
0,0.1,1182
0,0.15,1177
0,0.2,1173
0,0.25,1168
0,0.3,1162
0,0.35,1155
0,0.4,1148
0,0.45,1137
0,0.5,1126
0,0.55,1114
0,0.6,1103
0,0.65,1085
0,0.7,1070
0,0.75,1051
0,0.8,1030
0,0.85,1009
0,0.9,993
0,0.95,986
0,1,980
0.05,0,1185
0.05,0.05,1184
0.05,0.1,1181
0.05,0.15,1176
0.05,0.2,1172
0.05,0.25,1166
0.05,0.3,1160
0.05,0.35,1153
0.05,0.4,1144
0.05,0.45,1132
0.05,0.5,1122
0.05,0.55,1110
0.05,0.6,1097
0.05,0.65,1079
0.05,0.7,1063
0.05,0.75,1043
0.05,0.8,1021
0.05,0.85,1003
0.05,0.9,990
0.05,0.95,986
0.05,1,-
0.1,0,1185
0.1,0.05,1184
0.1,0.1,1180
0.1,0.15,1174
0.1,0.2,1169
0.1,0.25,1163
0.1,0.3,1156
0.1,0.35,1147
0.1,0.4,1137
0.1,0.45,1125
0.1,0.5,1114
0.1,0.55,1101
0.1,0.6,1084
0.1,0.65,1066
0.1,0.7,1048
0.1,0.75,1024
0.1,0.8,1005
0.1,0.85,992
0.1,0.9,990
0.1,0.95,-
0.1,1,-
0.15,0,1187
0.15,0.05,1185
0.15,0.1,1180
0.15,0.15,1175
0.15,0.2,1168
0.15,0.25,1161
0.15,0.3,1154
0.15,0.35,1144
0.15,0.4,1133
0.15,0.45,1121
0.15,0.5,1109
0.15,0.55,1093
0.15,0.6,1076
0.15,0.65,1059
0.15,0.7,1037
0.15,0.75,1015
0.15,0.8,1002
0.15,0.85,992
0.15,0.9,-
0.15,0.95,-
0.15,1,-
0.2,0,1190
0.2,0.05,1187
0.2,0.1,1182
0.2,0.15,1175
0.2,0.2,1168
0.2,0.25,1160
0.2,0.3,1153
0.2,0.35,1142
0.2,0.4,1130
0.2,0.45,1118
0.2,0.5,1105
0.2,0.55,1087
0.2,0.6,1069
0.2,0.65,1051
0.2,0.7,1030
0.2,0.75,1014
0.2,0.8,1002
0.2,0.85,-
0.2,0.9,-
0.2,0.95,-
0.2,1,-
0.25,0,1195
0.25,0.05,1191
0.25,0.1,1185
0.25,0.15,1178
0.25,0.2,1171
0.25,0.25,1162
0.25,0.3,1154
0.25,0.35,1143
