level,alchemist,cleric/battle creed,cleric/cloistered cleric,cleric/warpriest,fighter/mastery,fighter/other,gunslinger/mastery,gunslinger/other,kineticist,magus,summoner,$martial,$spellcaster,fighter_dedication
1,2,2,2,2,4,4,4,2,2,2,2,2,2,2
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,4,,,6,4,6,4,,4,4,4,,
6,,,,,,,,,,,,,,
7,4,,,4,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,4,,,,,,4,,,,4,
12,,,,,,,,,,,,,,4
13,,6,,,8,6,8,6,,6,6,6,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,6,,,,,,,,,,
20,,,,,,,,,,,,,,
