dataSpecification,dataType,description,elementCode,elementCodeSystem,elementName,fhirExpression_v4_0_1,ordinal,phenopacketSchemaElement_v2_0,recommendedDataSpec_fhir,recommendedDataSpec_phenopackets,section,valueSet
['n/a'],Identifier,The (local) patient-related identification code.,"{'system': 'SNOMEDCT', 'code': '422549004'}",SNOMEDCT,Pseudonym,Patient.identifier.value,1.1,Individual.id,n/a,string,1. Formal Criteria,
['YYYY-MM-DD'],Date,The date of admission or data capture of the individual.,"{'system': 'SNOMEDCT', 'code': '399423000'}",SNOMEDCT,Date of Admission,Encounter.period.start,1.2,Individual.time_at_last_encounter,n/a,TimeElement,1. Formal Criteria,
"['YYYY', 'YYYY-MM', 'YYYY-MM-DD']",Date,The individual's date of birth.,"{'system': 'SNOMEDCT', 'code': '184099003'}",SNOMEDCT,Date of Birth,Patient.birthDate,2.1,Individual.date_of_birth,n/a,TimeElement,2. Personal Information,
"['VSe', 'VSc']",Code,The individual's sex that was assigned at birth.,"{'system': 'SNOMEDCT', 'code': '281053000'}",SNOMEDCT,Sex at Birth,Patient.extension:individual-recordedSexOrGender,2.2,Individual.sex,Recorded Sex Or Gender Type,Sex,2. Personal Information,Sex at Birth Value Set v2.0.0
['VSc'],Code,The chromosomal sex of an individual.,"{'system': 'SNOMEDCT', 'code': '1296886006'}",SNOMEDCT,Karyotypic Sex,Observation.value,2.3,Individual.karyotypic_sex,n/a,Karyotypic Sex,2. Personal Information,Karyotypic Sex Value Set v2.0.0
"['VSe', 'VSc']",Code,The self-assigned gender of the individual.,"{'system': 'SNOMEDCT', 'code': '263495000'}",SNOMEDCT,Gender Identity,Patient.extension:individual-genderIdentity,2.4,Individual.gender,Gender Identity,OntologyClass,2. Personal Information,Gender Identity Value Set v2.0.0
['VS'],Code,The individual's country of birth.,"{'system': 'SNOMEDCT', 'code': '370159000'}",SNOMEDCT,Country of Birth,Patient.extension:patient-birthPlace,2.5,n/a,DataType: Address,n/a,2. Personal Information,
"['VSe', 'VSc']",Code,The individual’s general clinical status orvital status.,"{'system': 'SNOMEDCT', 'code': '278844005'}",SNOMEDCT,Vital Status,Patient.deceased.deceasedBoolean|Observation.value,3.1,Individual.VitalStatus.status,Boolean|Code,Value Set: VitalStatus.Status,3. Patient Status,Vital Status Value Set v2.0.0
"['YYYY', 'YYYY-MM', 'YYYY-MM-DD']",Date,"If deceased, the individual’s date of death.","{'system': 'SNOMEDCT', 'code': '398299004'}",SNOMEDCT,Time of Death,Patient.deceasedDateTime,3.2,Individual.VitalStatus.time_of_death,DateTime,TimeElement,3. Patient Status,
['ICD-10CM'],Code,"If deceased, the individual’s primary cause of death.","{'system': 'SNOMEDCT', 'code': '184305005'}",SNOMEDCT,Cause of Death,Observation.value.coding.code,3.3,Individual.VitalStatus.cause_of_death,Code|CodeableConcept,OntologyClass,3. Patient Status,
