alcohol,acidity,sugar,quality
14.23,1.71,0.0,1
13.20,1.78,2.3,1
13.16,2.36,2.1,1
14.37,1.95,1.9,1
13.24,2.59,2.9,1
14.20,1.76,0.0,1
14.39,1.87,1.6,1
14.06,2.15,2.8,1
14.83,1.64,1.2,1
13.86,1.35,2.7,1
12.37,1.13,3.2,2
12.33,1.10,2.8,2
12.64,1.36,3.0,2
13.67,1.25,1.9,2
12.37,1.21,2.1,2
12.17,1.45,2.5,2
12.37,1.39,3.1,2
13.11,1.01,1.7,2
12.37,1.17,1.9,2
13.34,0.94,2.4,2
12.21,1.19,1.8,3
12.29,1.61,3.5,3
11.96,1.09,2.3,3
11.66,1.88,1.9,3
13.16,1.28,2.1,3
11.65,1.67,2.6,3
12.08,1.83,2.3,3
12.69,1.53,2.3,3
12.29,2.83,2.2,3
11.62,1.99,2.3,3
