id,En_id,gender,career,subcareer,star,camp,subcamp,origin,species,position,tag1,tag2,tag3,tag4,maxHP,atk,def,magicResistance,cost,blockCnt,baseAttackTime
阿米娅,Amiya,女,术师,中坚术师,5,罗德岛,罗德岛,雷姆必拓,卡特斯,远程位,输出,,,,1480,612,121,20,20,1,1.6
温蒂,Weedy,女,特种,推击手,6,罗德岛,罗德岛,伊比利亚,阿戈尔,近战位,位移,输出,控场,,2133,677,394,0,21,2,1.2
陈,Ch'en,女,近卫,剑豪,6,炎,龙门近卫局,龙门,龙,近战位,爆发,输出,,,2880,610,352,0,23,2,1.3
能天使,Exusiai,女,狙击,速射手,6,炎,企鹅物流,拉特兰,萨科塔,远程位,输出,,,,1673,540,161,0,14,1,1
银灰,SilverAsh,男,近卫,领主,6,谢拉格,喀兰贸易,谢拉格,菲林,近战位,输出,支援,,,2560,713,397,10,20,2,1.3
推进之王,Siege,女,先锋,尖兵,6,维多利亚,维多利亚,维多利亚,阿斯兰,近战位,费用回复,输出,,,2251,515,384,0,14,2,1.05
塞雷娅,Saria,女,重装,守护者,6,哥伦比亚,莱茵生命,哥伦比亚,瓦伊凡,近战位,防护,治疗,支援,,3150,485,595,10,22,3,1.2
星熊,Hoshiguma,女,重装,铁卫,6,炎,龙门近卫局,东国,鬼,近战位,防护,输出,,,3850,430,723,0,23,3,1.2
夜莺,Nightingale,女,医疗,群愈师,6,使徒,使徒,卡兹戴尔,萨卡兹,远程位,治疗,支援,,,1705,350,169,5,18,1,2.85
闪灵,Shining,女,医疗,医师,6,使徒,使徒,萨卡兹,卡兹戴尔,远程位,治疗,支援,,,1613,530,138,0,20,1,2.85
艾雅法拉,Eyjafjalla,女,术师,中坚术师,6,莱塔尼亚,莱塔尼亚,莱塔尼亚,卡普里尼,远程位,输出,削弱,,,1743,645,122,20,21,1,1.6
Lancet-2,Lancet-2,女,医疗,医师,1,罗德岛,罗德岛,无信息,无信息,远程位,支援机械,治疗,,,435,70,27,0,3,1,2.85
Castle-3,Castle-3,男,近卫,无畏者,1,罗德岛,罗德岛,无信息,无信息,近战位,支援机械,支援,,,1191,353,90,0,3,1,1.5
夜刀,Yato,女,先锋,尖兵,2,罗德岛,行动组A4,东国,鬼,近战位,新手,,,,1030,232,192,0,7,2,1.05
黑角,Noir Corne,男,重装,铁卫,2,罗德岛,行动组A4,东国,鬼,近战位,新手,,,,1670,240,315,0,14,3,1.2
巡林者,Rangers,男,狙击,速射手,2,罗德岛,行动组A4,未公开,萨弗拉,远程位,新手,,,,780,269,66,0,7,1,1
杜林,Durin,女,术师,中坚术师,2,罗德岛,行动组A4,未公开,杜林,远程位,新手,,,,952,340,62,10,12,1,1.6
12F,12F,男,术师,扩散术师,2,罗德岛,罗德岛,不明,萨弗拉,远程位,新手,,,,1461,432,50,10,24,1,2.9
芬,Fang,女,先锋,尖兵,3,罗德岛,行动预备组A1,卡西米尔,库兰塔,近战位,费用回复,,,,1325,325,260,0,11,2,1.05
香草,Vanilla,女,先锋,尖兵,3,哥伦比亚,黑钢国际,瓦伊凡,瓦伊凡,近战位,费用回复,,,,1270,355,240,0,11,2,1.05
翎羽,Plume,女,先锋,冲锋手,3,拉特兰,拉特兰,拉特兰,黎博利,近战位,输出,费用回复,,,1226,445,279,0,10,1,1
玫兰莎,Melantha,女,近卫,无畏者,3,罗德岛,行动预备组A4,维多利亚,菲林,近战位,输出,生存,,,2745,738,155,0,15,1,1.5
卡缇,Cardigan,女,重装,铁卫,3,罗德岛,行动预备组A4,莱塔尼亚,佩洛,近战位,防护,,,,2130,305,475,0,18,3,1.2
米格鲁,Beagle,女,重装,铁卫,3,罗德岛,行动预备组A1,玻利瓦尔,佩洛,近战位,防护,,,,2035,295,490,0,18,3,1.2
克洛丝,Kroos,女,狙击,速射手,3,罗德岛,行动预备组A1,雷姆必拓,卡特斯,远程位,输出,,,,1060,375,126,0,11,1,1
安德切尔,Adnachiel,男,狙击,速射手,3,罗德岛,行动预备组A4,拉特兰,萨科塔,远程位,输出,,,,1080,365,134,0,11,1,1
炎熔,Lava,女,术师,扩散术师,3,罗德岛,行动预备组A1,维多利亚,萨卡兹,远程位,群攻,,,,1141,582,95,15,30,1,2.9
芙蓉,Hibiscus,女,医疗,医师,3,罗德岛,行动预备组A1,维多利亚,萨卡兹,远程位,治疗,,,,1220,345,110,0,17,1,2.85
安赛尔,Ansel,男,医疗,医师,3,罗德岛,行动预备组A4,雷姆必拓,卡特斯,远程位,治疗,,,,1135,362,109,0,17,1,2.85
史都华德,Steward,男,术师,中坚术师,3,罗德岛,行动预备组A4,谢拉格,沃尔珀,远程位,输出,,,,1100,470,90,15,18,1,1.6
梓兰,Orchid,女,辅助,凝滞师,3,罗德岛,行动预备组A6,哥伦比亚,黎博利,远程位,减速,,,,935,378,83,15,12,1,1.9
夜烟,Haze,女,术师,中坚术师,4,维多利亚,维多利亚,维多利亚,菲林,远程位,输出,削弱,,,1420,583,110,20,19,1,1.6
远山,Gitano,女,术师,扩散术师,4,萨米,萨米,萨米,埃拉菲亚,远程位,群攻,,,,1598,715,118,20,32,1,2.9
杰西卡,Jessica,女,狙击,速射手,4,哥伦比亚,黑钢国际,维多利亚,菲林,远程位,输出,生存,,,1320,475,154,0,12,1,1
流星,Meteor,女,狙击,速射手,4,卡西米尔,卡西米尔,卡西米尔,库兰塔,远程位,输出,削弱,,,1370,465,165,0,12,1,1
白雪,ShiraYuki,女,狙击,炮手,4,东,东,东国,阿纳缇,远程位,群攻,减速,,,1630,797,100,0,27,1,2.8
讯使,Courier,男,先锋,尖兵,4,谢拉格,喀兰贸易,谢拉格,依特拉,近战位,费用回复,防护,,,1985,435,322,0,12,2,1.05
清道夫,Scavenger,女,先锋,尖兵,4,罗德岛,S.W.E.E.P.,未公开,札拉克,近战位,费用回复,输出,,,1835,470,310,0,12,2,1.05
红豆,Vigna,女,先锋,冲锋手,4,哥伦比亚,哥伦比亚,卡兹戴尔,萨卡兹,近战位,费用回复,输出,,,1845,558,351,0,11,1,1
杜宾,Dobermann,女,近卫,教官,4,罗德岛,罗德岛,玻利瓦尔,佩洛,近战位,输出,支援,,,2024,602,382,0,15,2,1.05
缠丸,Matoimaru,女,近卫,无畏者,4,东,东,东国,鬼,近战位,生存,输出,,,3640,916,156,0,17,1,1.5
霜叶,Frostleaf,女,近卫,领主,4,罗德岛,罗德岛,哥伦比亚,沃尔珀,近战位,减速,输出,,,2260,660,323,10,18,2,1.3
艾丝黛尔,Estelle,女,近卫,强攻手,4,萨尔贡,萨尔贡,未公开,阿达克利斯,近战位,群攻,生存,,,2500,690,315,0,22,3,1.2
慕斯,Mousse,女,近卫,术战者,4,维多利亚,维多利亚,维多利亚,菲林,近战位,输出,,,,2345,644,357,15,20,1,1.25
砾,Gravel,女,特种,处决者,4,卡西米尔,卡西米尔,卡西米尔,札拉克,近战位,快速复活,防护,,,1420,452,335,0,8,1,0.93
暗索,Rope,女,特种,钩索师,4,炎,龙门,雷姆必拓,卡特斯,近战位,位移,,,,1720,728,325,0,12,2,1.8
末药,Myrrh,女,医疗,医师,4,罗德岛,罗德岛,未公开,沃尔珀,远程位,治疗,,,,1420,465,131,0,18,1,2.85
