Species name	Common name	Ensembl stableid Prefix
Acanthochromis polyacanthus	Spiny chromis	ENSAPO
Accipiter nisus	Eurasian sparrowhawk	ENSANI
Ailuropoda melanoleuca	Giant panda	ENSAME
Amazona collaria	Yellow-billed parrot	ENSACO
Amphilophus citrinellus	Midas cichlid	ENSACI
Amphiprion ocellaris	Clown anemonefish	ENSAOC
Amphiprion percula	Orange clownfish	ENSAPE
Anabas testudineus	Climbing perch	ENSATE
Anas platyrhynchos	Mallard	ENSAPL
Anas platyrhynchos platyrhynchos	Duck	ENSAPL
Anas zonorhyncha	Eastern spot-billed duck	ENSAZO
Anolis carolinensis	Green anole	ENSACA
Anser brachyrhynchus	Pink-footed goose	ENSABR
Anser cygnoides	Swan goose	ENSACD
Aotus nancymaae	Ma's night monkey	ENSANA
Apteryx haastii	Great spotted kiwi	ENSAHA
Apteryx owenii	Little spotted kiwi	ENSAOW
Apteryx rowi	Okarito brown kiwi	ENSARW
Aquila chrysaetos chrysaetos	Golden eagle	ENSACC
Astatotilapia calliptera	Eastern happy	ENSACL
Astyanax mexicanus	Mexican tetra	ENSAMX
Astyanax mexicanus pachon	Pachon cavefish	
Athene cunicularia	Burrowing owl	ENSACU
Balaenoptera musculus	Blue whale	ENSBMS
Betta splendens	Siamese fighting fish	ENSBSL
Bison bison bison	American bison	ENSBBB
Bos grunniens	Domestic yak	ENSBGR
Bos indicus hybrid	Hybrid - Bos Indicus	
Bos mutus	Wild yak	ENSBMU
Bos taurus	Cow	ENSBTA
Bos taurus hybrid	Hybrid - Bos Taurus	
Bubo bubo	Eurasian eagle-owl	ENSBOB
Buteo japonicus	Eastern buzzard	ENSBJA
Caenorhabditis elegans	Caenorhabditis elegans (PRJNA13758)	
Cairina moschata domestica	Muscovy Duck (domestic type)	ENSCMM
Calidris pugnax	Ruff	ENSCPU
Calidris pygmaea	Spoon-billed sandpiper	ENSCPG
Callithrix jacchus	White-tufted-ear marmoset	ENSCJA
Callorhinchus milii	Elephant shark	ENSCMI
Camarhynchus parvulus	Small tree finch	ENSCPV
Camelus dromedarius	Arabian camel	ENSCDR
Canis lupus dingo	Dingo	ENSCAF
Canis lupus familiaris	Dog	ENSCAF
Canis lupus familiarisbasenji	Dog - Basenji	
Canis lupus familiarisboxer	Dog - Boxer	
Canis lupus familiarisgreatdane	Dog - Great Dane	
Canis lupus familiarisgsd	Dog - German Shepherd	
Capra hircus	Goat	ENSCHI
Capra hircus blackbengal	Goat (black bengal)	
Carassius auratus	Goldfish	ENSCAR
Carlito syrichta	Tarsier	ENSTSY
Castor canadensis	American beaver	ENSCCN
Catagonus wagneri	Chacoan peccary	ENSCWA
Catharus ustulatus	Swainson's thrush	ENSCUS
Cavia aperea	Brazilian guinea pig	ENSCAP
Cavia porcellus	Guinea Pig	ENSCPO
Cebus imitator	Panamanian white-faced capuchin	ENSCCA
Cercocebus atys	Sooty mangabey	ENSCAT
Cervus hanglu yarkandensis	Yarkand deer	ENSCHY
Chelonoidis abingdonii	Abingdon island giant tortoise	ENSCAB
Chelydra serpentina	Common snapping turtle	ENSCSR
Chinchilla lanigera	Long-tailed chinchilla	ENSCLA
Chlorocebus sabaeus	Vervet-AGM	ENSCSA
Choloepus hoffmanni	Sloth	ENSCHO
Chrysemys picta bellii	Painted turtle	ENSCPB
Chrysolophus pictus	Golden pheasant	ENSCPI
